class,module,npm_install,jelly_exit,seconds,note
prototype-pollution,merge-options_1.0.0,ok,0,0.42,
prototype-pollution,merge-recursive_0.0.3,ok,0,0.40,
prototype-pollution,mergify_1.0.2,ok,0,0.40,
prototype-pollution,minimist_1.0.0,ok,0,0.43,
prototype-pollution,mithril_1.0.0,ok,0,0.63,
prototype-pollution,mixin-deep_1.3.0,ok,0,0.41,
prototype-pollution,mixin-deep_2.0.0,ok,0,0.40,
prototype-pollution,mootools_1.5.2,ok,0,0.50,
prototype-pollution,mout_1.0.0,ok,0,0.87,
prototype-pollution,mpath_0.4.1,ok,0,0.42,
prototype-pollution,mquery_3.2.1,ok,0,1.48,
prototype-pollution,multi-ini_2.1.0,ok,0,2.43,
prototype-pollution,nconf-toml_0.0.1,ok,0,0.68,
prototype-pollution,nedb_1.8.0,ok,0,0.84,
prototype-pollution,nested-object-assign_1.0.3,ok,0,0.38,
prototype-pollution,nested-property_0.0.5,ok,0,0.40,
prototype-pollution,nestie_1.0.0,ok,0,0.40,
prototype-pollution,nis-utils_0.6.10,ok,0,1.86,
prototype-pollution,node-dig_1.0.1,ok,0,0.38,
prototype-pollution,nodee-utils_1.2.2,ok,0,1.38,
prototype-pollution,node-extend_1.0.0,ok,0,0.40,
prototype-pollution,node-forge_0.9.0,ok,0,1.75,
prototype-pollution,node-ini_1.0.0,ok,0,0.42,
prototype-pollution,node-oojs_1.4.0,ok,0,0.49,
prototype-pollution,object-collider_1.0.3,ok,0,0.42,
prototype-pollution,objection_2.0.0,ok,0,0.52,
prototype-pollution,object-path_0.11.0,ok,0,0.38,
prototype-pollution,object-path_0.11.4,ok,0,0.43,
prototype-pollution,object-path-set_1.0.0,ok,0,0.39,
prototype-pollution,objnest_5.0.0,ok,0,0.45,
prototype-pollution,objtools_3.0.0,ok,0,2.63,
prototype-pollution,objutil_2.17.3,ok,0,0.43,
prototype-pollution,patchmerge_1.0.0,ok,0,0.40,
